id,titulo,empresa,ciudad,modalidad,experiencia,lenguajes,salario,tipo_contrato,fecha_publicacion,vacantes
1,Data Scientist,TechNova,medellin,Remoto,Junior,"Java, Docker, Excel, TensorFlow",,indefinido,2025-11-07,7
2,Data Analyst,Claro,Barranquilla,Hibrido,Junior,"Java, Node.js, React",,Contrato,2025-10-12,4
3,Backend Developer,DataSoft,Remoto,Presencial,junior,"AWS, Docker",4156330.0,Freelance,2024-07-05,3
4,Analista de Datos,InnovaTech,Bucaramanga,Hibrido,Semi-Senior,"SQL, Docker, Power BI, Azure",5992743.0,Freelance,2026-01-19,1
5,Analista de Datos,Teleperformance,Barranquilla,Remoto,junior,"SQL, Node.js, JavaScript, Pandas, React",1910268.0,Indefinido,2025-11-01,4
6,Full Stack Developer,IBM,Bucaramanga,Híbrido,Senior,"Azure, SQL, Power BI",8532180.0,Freelance,2025-01-13,6
7,Backend Developer,Claro,Barranquilla,Híbrido,Semi-Senior,"React, Pandas",6534489.0,Contrato,2025-02-26,7
8,Analista de Datos,Accenture,Cartagena,Remoto,Senior,"Java, Pandas, R, Python, Docker, TensorFlow",9370006.0,Temporal,2024-09-23,10
9,Backend Developer,Rappi,medellin,Hibrido,Senior,"Power BI, Pandas, Tableau, Excel, JavaScript",9803274.0,Freelance,2026-02-05,10
10,Data Scientist,CodeLab,Bogotá,Remoto,junior,"R, Java, Excel, Node.js, Tableau",2936074.0,Temporal,2025-08-15,3
11,Machine Learning Engineer,InnovaTech,Bogotá,Remoto,junior,"Power BI, React, Tableau, Node.js, JavaScript",4072355.0,indefinido,2024-11-22,5
12,Machine Learning Engineer,CodeLab,Cali,Hibrido,Senior,"Excel, Tableau, Python, TensorFlow, JavaScript",9039911.0,Indefinido,2025-07-19,5
13,Machine Learning Engineer,CodeLab,medellin,Remoto,semi senior,"R, AWS, Excel",4078167.0,indefinido,2024-11-10,6
14,Frontend Developer,Globant,Barranquilla,Hibrido,junior,"Docker, Azure, AWS, JavaScript",,Indefinido,2026-05-04,2
15,Backend Developer,Sura,medellin,Hibrido,junior,"AWS, Excel, Azure, Pandas, Tableau, Node.js",2129365.0,Contrato,2025-09-23,4
16,Analista de Datos,IBM,medellin,remoto,semi senior,"TensorFlow, JavaScript, Power BI",4587201.0,Indefinido,2025-10-03,4
17,Frontend Developer,Teleperformance,Barranquilla,Remoto,Semi-Senior,"React, Node.js",,Indefinido,2024-06-27,1
18,Data Scientist,Claro,Barranquilla,Presencial,Semi-Senior,"Azure, R",,Contrato,2025-09-17,4
19,Data Scientist,Mercado Libre,Remoto,Presencial,semi senior,"React, Tableau, Java, Azure, Power BI, AWS",4127069.0,Contrato,2025-05-25,7
20,Data Scientist,Globant,Remoto,Presencial,junior,"Pandas, Docker",3625573.0,Indefinido,2024-09-07,4
21,Frontend Developer,InnovaTech,Medellín,remoto,Semi-Senior,"Excel, Power BI, Docker, JavaScript, Tableau",5091743.0,indefinido,2025-10-23,2
22,BI Analyst,IBM,Barranquilla,remoto,Junior,"Azure, Python, SQL, Java, Excel, Power BI",2203355.0,Indefinido,2024-12-30,3
23,Ingeniero de Datos,DataSoft,medellin,remoto,junior,"JavaScript, AWS, Azure, Tableau, Docker",,Temporal,2024-06-04,4
24,Machine Learning Engineer,Globant,Bucaramanga,Remoto,Senior,"React, TensorFlow",10081931.0,Indefinido,2024-06-23,10
25,Software Developer,Mercado Libre,Barranquilla,remoto,junior,"Excel, Python, Node.js, SQL, Docker, TensorFlow",3196025.0,Indefinido,2025-11-25,10
26,Ingeniero de Datos,TechNova,medellin,Presencial,Semi-Senior,"React, SQL",5770485.0,Freelance,2024-08-22,4
27,Analista de Datos,CodeLab,Medellín,Remoto,Senior,"Excel, Pandas, Azure, JavaScript, Tableau",8789436.0,Contrato,2025-01-04,10
28,Machine Learning Engineer,Sura,Cali,Presencial,semi senior,"Node.js, Java",5107371.0,Indefinido,2024-08-20,4
29,Machine Learning Engineer,Globant,medellin,Presencial,Senior,"Azure, Node.js, TensorFlow, JavaScript, React",8717040.0,Indefinido,2026-04-29,3
30,Backend Developer,Sura,Cartagena,Hibrido,Senior,"TensorFlow, Node.js",9348762.0,Temporal,2025-05-30,6
31,Data Scientist,TechNova,Remoto,Presencial,Semi-Senior,"Node.js, Tableau, JavaScript, Python",6553882.0,Indefinido,2025-06-26,1
32,Ingeniero de Datos,Claro,Bogotá,Remoto,Senior,"Excel, TensorFlow, Tableau, Node.js",9719486.0,Indefinido,2024-10-24,3
33,Backend Developer,Globant,Cartagena,Presencial,semi senior,"React, Node.js, Excel, Power BI",,Indefinido,2025-02-25,6
34,Machine Learning Engineer,InnovaTech,Remoto,Hibrido,Semi-Senior,"R, AWS",4827035.0,Temporal,2025-09-10,4
35,Backend Developer,DataSoft,Bucaramanga,remoto,Semi-Senior,"Docker, Power BI, Python",4948143.0,Temporal,2025-09-05,5
36,Data Analyst,InnovaTech,bogota,Híbrido,Semi-Senior,"Power BI, Azure",5800942.0,Temporal,2024-11-29,8
37,Frontend Developer,Accenture,Bucaramanga,Presencial,Senior,"Java, Python, Pandas",7865725.0,Indefinido,2026-03-19,5
38,Data Scientist,Sura,Cali,Hibrido,Senior,"Pandas, Azure, Node.js, R, Python",7884654.0,Freelance,2024-05-24,1
39,Software Developer,Claro,Medellín,remoto,Junior,"TensorFlow, AWS, R, Power BI",3053277.0,indefinido,2025-11-13,4
40,Frontend Developer,Davivienda,Remoto,Remoto,Senior,"Python, Node.js, AWS, Azure, Pandas",,Freelance,2024-10-26,10
41,Machine Learning Engineer,Sura,Remoto,Presencial,Senior,"TensorFlow, JavaScript",10216182.0,Contrato,2025-05-13,5
42,Software Developer,Teleperformance,Cartagena,remoto,semi senior,"Pandas, Power BI, Docker, TensorFlow, Excel",6170690.0,indefinido,2024-10-31,1
43,BI Analyst,IBM,bogota,Híbrido,Senior,"AWS, React, Azure, Pandas, R",10228388.0,indefinido,2025-06-25,8
44,Analista de Datos,Mercado Libre,Barranquilla,Presencial,Semi-Senior,"Node.js, Pandas, Azure, React",4828178.0,Temporal,2026-03-17,4
45,Data Scientist,IBM,Remoto,Hibrido,Semi-Senior,"Tableau, React, AWS",,Temporal,2025-08-02,7
46,Data Scientist,CodeLab,Remoto,Híbrido,junior,"Pandas, TensorFlow, Python",4246609.0,Temporal,2025-11-11,9
47,BI Analyst,Bancolombia,bogota,Hibrido,junior,"Docker, Azure, SQL",,indefinido,2026-04-09,10
48,Machine Learning Engineer,IBM,Cali,remoto,Senior,"React, Azure, TensorFlow, Node.js, Power BI",7868148.0,Contrato,2024-06-01,5
49,Frontend Developer,Sura,bogota,Remoto,Semi-Senior,"AWS, Docker, Node.js, Tableau",6125665.0,Freelance,2025-10-19,4
50,Frontend Developer,Mercado Libre,Remoto,remoto,Senior,"SQL, Excel, Azure, Java, Power BI, AWS",8056508.0,Freelance,2025-10-06,9
51,Software Developer,DataSoft,Bogotá,Hibrido,junior,"Azure, Power BI, Docker",2603591.0,Contrato,2025-01-11,8
52,Machine Learning Engineer,CodeLab,Barranquilla,remoto,Junior,"AWS, Power BI, Azure, Node.js",2996942.0,Temporal,2025-01-03,5
53,BI Analyst,Bancolombia,medellin,Remoto,junior,"R, Pandas, Azure, Power BI, Excel",4003682.0,Contrato,2026-04-10,10
54,Backend Developer,InnovaTech,bogota,Híbrido,semi senior,"Pandas, Power BI",4404365.0,Indefinido,2025-09-04,5
55,Ingeniero de Datos,Sura,Medellín,remoto,junior,"R, Docker, AWS, Power BI, JavaScript",3670928.0,Indefinido,2025-08-30,9
56,Data Analyst,CodeLab,Bogotá,Híbrido,Junior,"Java, Pandas, SQL, Azure",3873415.0,Temporal,2026-02-10,1
57,Software Developer,Rappi,bogota,Presencial,semi senior,"Tableau, Pandas, SQL",5855555.0,Freelance,2024-08-22,3
58,Backend Developer,Sura,Medellín,Hibrido,semi senior,"AWS, Azure",4605889.0,Indefinido,2025-02-15,5
59,Frontend Developer,Mercado Libre,Cartagena,Hibrido,semi senior,"Power BI, TensorFlow, Java, SQL, React",5308349.0,Indefinido,2024-05-25,10
60,Analista de Datos,Globant,Remoto,remoto,Junior,"Pandas, R, SQL, Node.js, Docker",4405413.0,Indefinido,2025-09-06,7
61,Full Stack Developer,Teleperformance,medellin,remoto,Senior,"TensorFlow, Excel, Power BI, Azure, Node.js",9163715.0,Contrato,2025-08-25,7
62,BI Analyst,Rappi,bogota,Hibrido,semi senior,"Azure, SQL, JavaScript",5020405.0,indefinido,2024-09-08,7
63,Full Stack Developer,Davivienda,Cartagena,Hibrido,Senior,"Excel, Tableau, Java, R",,Freelance,2024-08-18,9
64,Ingeniero de Datos,IBM,medellin,Híbrido,Junior,"SQL, Java, TensorFlow",4195505.0,Contrato,2024-06-20,8
